"Параметр","Значение"
"Имя файла","samara_weather_201001-201901.csv"
"Количество строк","3310"
"Количество столбцов","9"
"Начальная дата","2010-01-1"
"Конечная дата","2019-01-9"
"Дата","Тип: object, Уникальных значений: 3310, Примеры: 2018-03-7, 2012-11-24, 2010-07-23, 2014-02-18, 2015-03-22"
"Температура (день)","Тип: float64, Уникальных значений: 65, Примеры: 21.0, -8.0, -8.0, -2.0, 3.0"
"Давление (день)","Тип: object, Уникальных значений: 56, Примеры: 742, 748, 745, 751, 750"
"Облачность (день)","Тип: object, Уникальных значений: 6, Примеры: Переменная облачность, Пасмурно, Ясно, Малооблачно, Малооблачно"
"Ветер (день)","Тип: object, Уникальных значений: 46, Примеры: СЗ 2м/с, С 2м/с, В 2м/с, В 2м/с, С 2м/с"
"Температура (вечер)","Тип: float64, Уникальных значений: 62, Примеры: 10.0, 0.0, -12.0, -11.0, 7.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 55, Примеры: 747.0, 754.0, 735.0, 746.0, 739.0"
"Облачность (вечер)","Тип: object, Уникальных значений: 6, Примеры: Ясно, Ясно, Ясно, Ясно, Ясно"
"Ветер (вечер)","Тип: object, Уникальных значений: 46, Примеры: В 2м/с, СЗ 2м/с, ЮВ 2м/с, В 2м/с, ЮЗ 3м/с"
